i,j,speaker,word
18,84,AB,cache
18,85,AB,cache
18,159,AB,cache
18,160,AB,cache
18,168,AB,cache
18,169,AB,cache
18,253,AB,cache
18,254,AB,cache
18,311,AB,cache
18,312,AB,cache
19,84,AB,cache
19,85,AB,cache
19,159,AB,cache
19,160,AB,cache
19,168,AB,cache
19,169,AB,cache
19,253,AB,cache
19,254,AB,cache
19,311,AB,cache
19,312,AB,cache
84,159,AB,cache
84,160,AB,cache
84,168,AB,cache
84,169,AB,cache
84,253,AB,cache
84,254,AB,cache
84,311,AB,cache
84,312,AB,cache
85,159,AB,cache
85,160,AB,cache
85,168,AB,cache
85,169,AB,cache
85,253,AB,cache
85,254,AB,cache
85,311,AB,cache
85,312,AB,cache
159,168,AB,cache
159,169,AB,cache
159,253,AB,cache
159,254,AB,cache
159,311,AB,cache
159,312,AB,cache
160,168,AB,cache
160,169,AB,cache
160,253,AB,cache
160,254,AB,cache
160,311,AB,cache
160,312,AB,cache
168,253,AB,cache
168,254,AB,cache
168,311,AB,cache
168,312,AB,cache
169,253,AB,cache
169,254,AB,cache
169,311,AB,cache
169,312,AB,cache
253,311,AB,cache
253,312,AB,cache
254,311,AB,cache
254,312,AB,cache
405,471,AB2,cache
405,472,AB2,cache
405,543,AB2,cache
405,544,AB2,cache
405,552,AB2,cache
405,553,AB2,cache
405,637,AB2,cache
405,638,AB2,cache
405,695,AB2,cache
405,696,AB2,cache
406,471,AB2,cache
406,472,AB2,cache
406,543,AB2,cache
406,544,AB2,cache
406,552,AB2,cache
406,553,AB2,cache
406,637,AB2,cache
406,638,AB2,cache
406,695,AB2,cache
406,696,AB2,cache
471,543,AB2,cache
471,544,AB2,cache
471,552,AB2,cache
471,553,AB2,cache
471,637,AB2,cache
471,638,AB2,cache
471,695,AB2,cache
471,696,AB2,cache
472,543,AB2,cache
472,544,AB2,cache
472,552,AB2,cache
472,553,AB2,cache
472,637,AB2,cache
472,638,AB2,cache
472,695,AB2,cache
472,696,AB2,cache
543,552,AB2,cache
543,553,AB2,cache
543,637,AB2,cache
543,638,AB2,cache
543,695,AB2,cache
543,696,AB2,cache
544,552,AB2,cache
544,553,AB2,cache
544,637,AB2,cache
544,638,AB2,cache
544,695,AB2,cache
544,696,AB2,cache
552,637,AB2,cache
552,638,AB2,cache
552,695,AB2,cache
552,696,AB2,cache
553,637,AB2,cache
553,638,AB2,cache
553,695,AB2,cache
553,696,AB2,cache
637,695,AB2,cache
637,696,AB2,cache
638,695,AB2,cache
638,696,AB2,cache
790,856,AG,cache
790,857,AG,cache
790,928,AG,cache
790,929,AG,cache
790,937,AG,cache
790,938,AG,cache
790,1022,AG,cache
790,1023,AG,cache
790,1080,AG,cache
790,1081,AG,cache
791,856,AG,cache
791,857,AG,cache
791,928,AG,cache
791,929,AG,cache
791,937,AG,cache
791,938,AG,cache
791,1022,AG,cache
791,1023,AG,cache
791,1080,AG,cache
791,1081,AG,cache
856,928,AG,cache
856,929,AG,cache
856,937,AG,cache
856,938,AG,cache
856,1022,AG,cache
856,1023,AG,cache
856,1080,AG,cache
856,1081,AG,cache
857,928,AG,cache
857,929,AG,cache
857,937,AG,cache
857,938,AG,cache
857,1022,AG,cache
857,1023,AG,cache
857,1080,AG,cache
857,1081,AG,cache
928,937,AG,cache
928,938,AG,cache
928,1022,AG,cache
928,1023,AG,cache
928,1080,AG,cache
928,1081,AG,cache
929,937,AG,cache
929,938,AG,cache
929,1022,AG,cache
929,1023,AG,cache
929,1080,AG,cache
929,1081,AG,cache
937,1022,AG,cache
937,1023,AG,cache
937,1080,AG,cache
937,1081,AG,cache
938,1022,AG,cache
938,1023,AG,cache
938,1080,AG,cache
938,1081,AG,cache
1022,1080,AG,cache
1022,1081,AG,cache
1023,1080,AG,cache
1023,1081,AG,cache
1175,1242,AN,cache
1175,1243,AN,cache
1175,1314,AN,cache
1175,1315,AN,cache
1175,1323,AN,cache
1175,1324,AN,cache
1175,1408,AN,cache
1175,1409,AN,cache
1175,1466,AN,cache
1175,1467,AN,cache
1176,1242,AN,cache
1176,1243,AN,cache
1176,1314,AN,cache
1176,1315,AN,cache
1176,1323,AN,cache
1176,1324,AN,cache
1176,1408,AN,cache
1176,1409,AN,cache
1176,1466,AN,cache
1176,1467,AN,cache
1242,1314,AN,cache
1242,1315,AN,cache
1242,1323,AN,cache
1242,1324,AN,cache
1242,1408,AN,cache
1242,1409,AN,cache
1242,1466,AN,cache
1242,1467,AN,cache
1243,1314,AN,cache
1243,1315,AN,cache
1243,1323,AN,cache
1243,1324,AN,cache
1243,1408,AN,cache
1243,1409,AN,cache
1243,1466,AN,cache
1243,1467,AN,cache
1314,1323,AN,cache
1314,1324,AN,cache
1314,1408,AN,cache
1314,1409,AN,cache
1314,1466,AN,cache
1314,1467,AN,cache
1315,1323,AN,cache
1315,1324,AN,cache
1315,1408,AN,cache
1315,1409,AN,cache
1315,1466,AN,cache
1315,1467,AN,cache
1323,1408,AN,cache
1323,1409,AN,cache
1323,1466,AN,cache
1323,1467,AN,cache
1324,1408,AN,cache
1324,1409,AN,cache
1324,1466,AN,cache
1324,1467,AN,cache
1408,1466,AN,cache
1408,1467,AN,cache
1409,1466,AN,cache
1409,1467,AN,cache
1560,1626,AR,cache
1560,1627,AR,cache
1560,1698,AR,cache
1560,1699,AR,cache
1560,1707,AR,cache
1560,1708,AR,cache
1560,1792,AR,cache
1560,1793,AR,cache
1560,1850,AR,cache
1560,1851,AR,cache
1561,1626,AR,cache
1561,1627,AR,cache
1561,1698,AR,cache
1561,1699,AR,cache
1561,1707,AR,cache
1561,1708,AR,cache
1561,1792,AR,cache
1561,1793,AR,cache
1561,1850,AR,cache
1561,1851,AR,cache
1626,1698,AR,cache
1626,1699,AR,cache
1626,1707,AR,cache
1626,1708,AR,cache
1626,1792,AR,cache
1626,1793,AR,cache
1626,1850,AR,cache
