speaker,recording_id,word,t_start,t_end,duration,wav_path
AB,ab_rus_list1_FRcorp10,dis,0.67,1.14,0.47,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav
AB,ab_rus_list1_FRcorp10,juxtaposer,1.3669523510029715,2.47,1.103,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav
AB,ab_rus_list1_FRcorp10,trois,2.83,3.14,0.31,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav
AB,ab_rus_list1_FRcorp10,fois,3.14,3.55,0.41,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp10.wav
AB,ab_rus_list1_FRcorp11,dis,0.83,1.22,0.39,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp11.wav
AB,ab_rus_list1_FRcorp11,pas,1.51,1.71,0.2,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp11.wav
AB,ab_rus_list1_FRcorp11,ceux,1.71,2.15,0.44,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp11.wav
AB,ab_rus_list1_FRcorp11,trois,2.51,2.83,0.32,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp11.wav
AB,ab_rus_list1_FRcorp11,fois,2.83,3.23,0.4,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp11.wav
AB,ab_rus_list1_FRcorp12,dis,0.65,1.01,0.36,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp12.wav
AB,ab_rus_list1_FRcorp12,garage,1.081986253650056,1.79,0.708,/mnt/d/Аня/2025_2026/data skills/last lab/FRcorp_textgrids_only/AB/ab_rus_list1_FRcorp12.wav
